tconst,primaryTitle,Language,Country,plot,genres,lead_actors_ids,startYear,runtimeMinutes,numVotes,averageRating,budget,BoxOffice
tt0059885,Von Ryan's Express,English,United States,"In 1943 Colonel Joseph Ryan, aUSAAFfighter pilot, is shot down over Italy and taken to a POW camp run by theFascistcamp commander, Major Basilio Battaglia, and his sympathetic second-in-command, Captain Vittorio Oriani. Most prisoners are from the British 9thFusilierswhose commanding officer recently died after being placed in a ""sweat box"" as punishment for hitting Battaglia. Ryan becomes the most senior Allied officer in the camp, and automatically assumes command of the POWs, replacing Major Eric Fincham, the senior British officer.","['Action', 'Adventure', 'War']","['nm0000069', ' nm0002145', ' nm0141123', ' nm0223290', ' nm0266949']",1965,117,16148,7.1,5.76,17.1
tt1821695,Up/Down,Czech,Czech Republic,"Milan and Goran are two criminals who smuggle illegal immigrants. One night after they complete a smuggle, they discover that one of the immigrants has left a baby behind. Milan and Goran decide to sell the baby to Lubos and Eman, who are responsible for running an illegal baby adoption center. Lubos and Eman make attempts to sell the baby to Miluska and Frantisek, a barren couple. Concurrently a university professor is diagnosed with an inoperable brain tumor, setting into action a complicated train of family reunions, partings, and conflicts.",['Documentary'],['nm4736622'],2011,85,180,7.0,2.0,2.705
tt1464335,Uncharted,English,United States,"Orphaned brothersSamandNathan ""Nate"" Drakeare caught trying to steal a map made after theMagellan expeditionfrom aBostonmuseum. Before the orphanage can expel Sam, he sneaks out to be on his own, but promises Nate that he will return, leaving him a ring belonging to their supposed ancestor SirFrancis Drake.","['Action', 'Adventure']","['nm4043618', ' nm0000242', ' nm0000104', ' nm1496115', ' nm6616259']",2022,116,299608,6.3,0.0,0.0
tt30851085,Visiting Hours,English,Canada,"Deborah Ballin, a feminist activist, inspires the wrath of the misogynistic psychopath and serial killer Colt Hawker on a TV talk show. He attacks her, but she survives and is sent to County General Hospital.",['Drama'],"['nm0001376', ' nm2082567', ' nm16176204', ' nm16176203', ' nm5706532']",2024,108,538,5.8,6.0,13.3
tt0488658,Unaccompanied Minors,English,United States Australia,"Spencer Davenport and his sister Katherine must fly fromCaliforniatoPennsylvaniaon Christmas Eve to spend the holidays with their dad. At their layover at the Midwestern Hoover International Airport, a massive blizzard grounds all planes and cancels all flights, and the siblings are sent to the anarchic UM (unaccompanied minor) room, where they meet Christmas-spirited genius Charlie Goldfinch, surly tomboy Donna Malone, arrogant rich girl Grace Conrad, and mysterious Beef Wellington.","['Adventure', 'Comedy', 'Family']","['nm0160553', ' nm1927701', ' nm1213456', ' nm0791723', ' nm0085400']",2006,90,13141,5.4,25.0,21.9
tt0059956,Viva Maria!,French English Spanish German,France Italy,"In 1907, Marie Fitzgerald O'Malley (Maria II), the Irish-born daughter of a deceased Frenchwoman and anIrish republicananarchist, has assisted her father in conducting bombings against the British government from an early age. While in Central America, Maria II is forced to blow up a bridge on which her father is killed in a shootout with British authorities. The orphaned Maria II escapes capture and seeks refuge in the wagon of Maria I, a Frenchvaudevilleperformer in a traveling circus troupe. The two Marias eventually bond, and since Maria I's partner has recently committed suicide over a failed romance, they team up for a song-and-dance act called ""Maria and Maria"", despite Maria II's inexperience as a performer.","['Adventure', 'Comedy', 'Romance']","['nm0000003', ' nm0603402', ' nm0001313', ' nm0239513', ' nm0902860']",1965,119,4418,6.3,2.2,1.1
tt0489325,V2: Dead Angel,Finnish,Finland,Private detective Jussi Vares investigates the homicide of a young woman that occurred in the city ofPori.[3]It is the second film in theVaresseries and the last film to featureJuha Veijonenas Vares.,"['Action', 'Mystery', 'Thriller']","['nm0892035', ' nm0084969', ' nm0483888', ' nm1279971', ' nm0512158']",2007,92,2694,6.2,1.65,1.695
tt0489327,Venus,English,United Kingdom,"Maurice Russell is an elderly actor who finds himself increasingly attracted to his friend Ian's grand-niece Jessie, while simultaneously finding himself in deteriorating health owing to prostate cancer. Maurice's friend describes the grand-niece as a troublemaker and a nuisance, but Maurice discovers that Jessie warms to him when he starts interacting with her. He takes her to theNational Galleryin London to view his favourite painting, theRokeby Venus, by the Spanish artistDiego Velázquez.","['Comedy', 'Drama', 'Romance']","['nm0000564', ' nm2092886', ' nm0680587', ' nm2136877', ' nm0289194']",2006,95,13850,7.1,3.75,7.3
tt0092133,Under the Cherry Moon,English,United States,"Gigolos Christopher Tracy and his friend Tricky, originally fromMiami, reside on theFrench Riviera. Christopher works as a piano player at the Venus de Milo nightclub inNiceand, along with Tricky, spends his days identifying rich women to target in order to gain large amounts of money via marriage. Christopher is in an informal relationship with wealthy divorcee Mrs. Wellington, while Tricky is romantically involved with their landlady, Katy, who is threatening to evict them unless they pay two months of back rent.","['Comedy', 'Drama', 'Music']","['nm0002239', ' nm0072934', ' nm0000218', ' nm0000925', ' nm0758579']",1986,100,4163,5.1,12.0,10.1
tt35450328,Victoria,German English,Germany,"Victoria is a Spanish woman who moved toBerlinand has been living there for three months. She works in a cafe for a meager wage, and does not know anybody in the city. In addition, she does not speak much German, and her only common language with the people around her is English. Leaving a club at around 4 o’clock in the morning after a night of dancing and drinking, she meets four young men who are denied entry to the club. They are “Sonne” (sun), “Boxer”, “Blinker” (turn signal), and “Fuß” (foot). The men, who are celebrating Fuß' birthday, invite her to take a walk through the city and she agrees. After stealing some alcohol from an all night shop, they all get on the roof of an apartment building where they drink and smoke marijuana together, while Boxer reveals that he spent time in jail for hurting someone.",['Drama'],"['nm11481870', ' nm16377481', ' nm7765541', ' nm17363130', ' nm17363131']",2024,84,21,7.1,0.488,6.71
